ax,ay,az,gx,gy,gz,temperature,flame
-5756.0,-1232.0,15256.0,-514.0,1249.0,51.0,209.0,1.0
-9008.0,420.0,9720.0,-872.0,-1116.0,780.0,208.0,1.0
-9180.0,2744.0,8636.0,-1419.0,-2791.0,935.0,190.0,1.0
-4436.0,3416.0,12936.0,-2205.0,-2224.0,507.0,222.0,1.0
-1924.0,1704.0,15380.0,-2436.0,-1744.0,-5.0,203.0,1.0
140.0,-348.0,16660.0,-1779.0,-1850.0,-151.0,231.0,1.0
4320.0,-1464.0,18016.0,-1346.0,-2326.0,-356.0,194.0,1.0
8828.0,-1896.0,15988.0,-735.0,-621.0,-653.0,238.0,1.0
6684.0,-1996.0,21876.0,-178.0,-14.0,-752.0,199.0,1.0
4032.0,-660.0,23272.0,92.0,1393.0,-772.0,206.0,1.0
292.0,-1976.0,28184.0,188.0,2448.0,-655.0,194.0,1.0
2028.0,-2720.0,26276.0,-413.0,2132.0,-317.0,236.0,1.0
-10464.0,1860.0,7644.0,-578.0,548.0,398.0,196.0,1.0
-15836.0,2896.0,8184.0,-1069.0,-1992.0,888.0,213.0,1.0
-15892.0,3312.0,9808.0,-1795.0,-2565.0,752.0,197.0,1.0
1408.0,1560.0,13284.0,-2460.0,-2087.0,154.0,219.0,1.0
5476.0,-1032.0,6080.0,-2098.0,-1627.0,-103.0,210.0,1.0
1904.0,524.0,13372.0,-1369.0,-2387.0,-330.0,194.0,1.0
9628.0,-1796.0,21520.0,-825.0,-632.0,-631.0,239.0,1.0
4644.0,-2176.0,25160.0,-182.0,45.0,-791.0,195.0,1.0
6304.0,-1732.0,22184.0,261.0,1801.0,-752.0,207.0,1.0
3052.0,-592.0,21408.0,-211.0,2453.0,-482.0,206.0,1.0
-6060.0,-1120.0,14600.0,-493.0,1173.0,89.0,205.0,1.0
-11216.0,1824.0,9140.0,-995.0,-1638.0,822.0,193.0,1.0
-6056.0,2744.0,10412.0,-1800.0,-2612.0,746.0,199.0,1.0
-2956.0,1796.0,15032.0,-2500.0,-2041.0,129.0,221.0,1.0
3028.0,-220.0,9932.0,-1962.0,-1675.0,-125.0,206.0,1.0
4468.0,-1400.0,18076.0,-1445.0,-2387.0,-307.0,197.0,1.0
9336.0,-1852.0,16008.0,-913.0,-810.0,-567.0,232.0,1.0
8928.0,-1648.0,22532.0,-251.0,-160.0,-744.0,205.0,1.0
3556.0,-808.0,23476.0,66.0,1184.0,-740.0,195.0,1.0
60.0,-1988.0,28520.0,237.0,2282.0,-685.0,196.0,1.0
1592.0,-2512.0,26752.0,-240.0,2428.0,-492.0,210.0,1.0
-8432.0,-212.0,9796.0,-463.0,1244.0,27.0,216.0,1.0
-11704.0,2388.0,6088.0,-589.0,267.0,484.0,184.0,1.0
-14832.0,2460.0,7436.0,-1163.0,-2263.0,932.0,214.0,1.0
-17240.0,4376.0,10904.0,-1717.0,-2641.0,819.0,199.0,1.0
-2960.0,1560.0,14808.0,-2320.0,-2039.0,355.0,240.0,1.0
460.0,1944.0,14524.0,-2401.0,-1778.0,-17.0,202.0,1.0
732.0,-600.0,16508.0,-1807.0,-1857.0,-138.0,193.0,1.0
3212.0,-1372.0,19412.0,-1369.0,-2312.0,-376.0,197.0,1.0
8020.0,-2028.0,16232.0,-884.0,-786.0,-621.0,229.0,1.0
5548.0,-2316.0,23256.0,-267.0,-263.0,-729.0,208.0,1.0
7236.0,-1220.0,20976.0,56.0,1081.0,-775.0,215.0,1.0
2896.0,-1388.0,24164.0,243.0,2129.0,-749.0,196.0,1.0
-388.0,-2012.0,29352.0,-241.0,2516.0,-474.0,216.0,1.0
-8888.0,-1492.0,13792.0,-518.0,1086.0,105.0,212.0,1.0
-11764.0,2336.0,8044.0,-769.0,-942.0,795.0,205.0,1.0
-15588.0,3832.0,8340.0,-1552.0,-2823.0,923.0,196.0,1.0
-2404.0,1964.0,13892.0,-2357.0,-2058.0,321.0,232.0,1.0
1528.0,976.0,12376.0,-2299.0,-1659.0,-79.0,195.0,1.0
5104.0,-972.0,6568.0,-1677.0,-2037.0,-195.0,210.0,1.0
7744.0,-1772.0,15860.0,-1100.0,-1850.0,-483.0,199.0,1.0
11000.0,-2148.0,17644.0,-663.0,-625.0,-673.0,234.0,1.0
7004.0,-1644.0,21648.0,-162.0,173.0,-744.0,202.0,1.0
4868.0,-796.0,22948.0,109.0,1384.0,-728.0,207.0,1.0
368.0,-2008.0,27852.0,178.0,2277.0,-681.0,194.0,1.0
636.0,-2520.0,27696.0,-376.0,2181.0,-362.0,220.0,1.0
-9288.0,-76.0,10408.0,-499.0,961.0,203.0,207.0,1.0
-13132.0,2204.0,5816.0,-815.0,-1084.0,794.0,202.0,1.0
-16732.0,4548.0,10524.0,-1454.0,-2824.0,922.0,195.0,1.0
-1916.0,1736.0,14696.0,-2331.0,-2086.0,388.0,234.0,1.0
2024.0,312.0,10472.0,-2386.0,-1752.0,-31.0,197.0,1.0
4904.0,-1188.0,7216.0,-1675.0,-2038.0,-208.0,210.0,1.0
9916.0,-2128.0,15832.0,-1063.0,-1612.0,-479.0,200.0,1.0
8176.0,-1852.0,24132.0,-405.0,-425.0,-753.0,209.0,1.0
3932.0,-2272.0,25260.0,22.0,1006.0,-753.0,226.0,1.0
728.0,-2856.0,27344.0,147.0,2450.0,-665.0,191.0,1.0
1988.0,-716.0,18444.0,-387.0,2033.0,-225.0,239.0,1.0
-8416.0,-1416.0,13708.0,-567.0,219.0,479.0,190.0,1.0
-11704.0,3448.0,9456.0,-1351.0,-2740.0,959.0,191.0,1.0
-3636.0,3692.0,12356.0,-2227.0,-2151.0,484.0,208.0,1.0
-672.0,1928.0,15028.0,-2387.0,-1688.0,-48.0,200.0,1.0
540.0,-976.0,18240.0,-1690.0,-2068.0,-186.0,205.0,1.0
7468.0,-1928.0,16188.0,-1064.0,-1562.0,-516.0,206.0,1.0
10180.0,-1932.0,19900.0,-377.0,-390.0,-751.0,210.0,1.0
4164.0,-812.0,23220.0,82.0,1290.0,-779.0,197.0,1.0
-268.0,-2180.0,29164.0,154.0,2441.0,-655.0,194.0,1.0
4044.0,-1148.0,23128.0,-415.0,1995.0,-289.0,238.0,1.0
-14044.0,1932.0,6228.0,-560.0,82.0,562.0,191.0,1.0
-16956.0,3952.0,10188.0,-1275.0,-2611.0,985.0,204.0,1.0
-9496.0,2276.0,9424.0,-2109.0,-2330.0,625.0,216.0,1.0
4736.0,-972.0,6908.0,-2484.0,-1834.0,-4.0,201.0,1.0
2712.0,820.0,13092.0,-1745.0,-1866.0,-145.0,207.0,1.0
3312.0,-1428.0,19320.0,-1232.0,-2002.0,-485.0,202.0,1.0
10588.0,-2296.0,16428.0,-438.0,-394.0,-732.0,209.0,1.0
6004.0,-976.0,21948.0,130.0,1468.0,-743.0,210.0,1.0
-524.0,-2408.0,29488.0,-5.0,2532.0,-627.0,194.0,1.0
2924.0,-348.0,20408.0,-447.0,1554.0,9.0,207.0,1.0
-15712.0,5048.0,8884.0,-932.0,-1389.0,844.0,215.0,1.0
-9396.0,2168.0,9480.0,-1699.0,-2722.0,852.0,199.0,1.0
-2824.0,1812.0,14012.0,-2511.0,-2067.0,76.0,210.0,1.0
612.0,-748.0,17240.0,-1745.0,-1896.0,-158.0,212.0,1.0
7704.0,-1940.0,16288.0,-1163.0,-1781.0,-499.0,202.0,1.0
8760.0,-1728.0,23664.0,-188.0,-152.0,-767.0,202.0,1.0
172.0,-2060.0,28284.0,223.0,1910.0,-737.0,205.0,1.0
3192.0,-772.0,22720.0,-262.0,2426.0,-495.0,204.0,1.0
-7252.0,-1244.0,13852.0,-573.0,411.0,459.0,193.0,1.0
-13708.0,1984.0,7000.0,-1329.0,-2747.0,981.0,194.0,1.0
-2996.0,2216.0,13384.0,-2319.0,-2188.0,435.0,230.0,1.0
2932.0,-448.0,9464.0,-2213.0,-1687.0,-46.0,202.0,1.0
2752.0,88.0,11660.0,-1420.0,-2396.0,-337.0,194.0,1.0
8888.0,-1628.0,23576.0,-618.0,-421.0,-710.0,229.0,1.0
4992.0,-2368.0,23664.0,-18.0,857.0,-767.0,207.0,1.0
3260.0,-1136.0,24224.0,135.0,2399.0,-673.0,194.0,1.0
-8076.0,-1280.0,13528.0,-445.0,1427.0,-4.0,214.0,1.0
-13692.0,2012.0,6556.0,-913.0,-1319.0,852.0,219.0,1.0
-15868.0,3268.0,9848.0,-1842.0,-2571.0,782.0,199.0,1.0
2940.0,-312.0,9448.0,-2512.0,-2015.0,45.0,209.0,1.0
4008.0,-488.0,9412.0,-1798.0,-1798.0,-139.0,187.0,1.0
1848.0,-1000.0,19628.0,-1124.0,-1938.0,-454.0,199.0,1.0
3864.0,-2292.0,25408.0,-442.0,-384.0,-722.0,213.0,1.0
7060.0,-960.0,21216.0,145.0,1503.0,-751.0,209.0,1.0
-500.0,-2116.0,29216.0,-14.0,2537.0,-588.0,192.0,1.0
3712.0,-736.0,22476.0,-467.0,1411.0,8.0,212.0,1.0
-15624.0,3616.0,8224.0,-862.0,-1240.0,850.0,212.0,1.0
-11916.0,3684.0,9700.0,-1694.0,-2734.0,876.0,199.0,1.0
-3192.0,2824.0,12776.0,-2506.0,-2062.0,143.0,213.0,1.0
1904.0,460.0,14428.0,-1714.0,-1962.0,-177.0,206.0,1.0
5608.0,-2124.0,17848.0,-1080.0,-1565.0,-502.0,203.0,1.0
10272.0,-1692.0,21028.0,-252.0,-203.0,-759.0,197.0,1.0
496.0,-2036.0,27492.0,248.0,2125.0,-768.0,193.0,1.0
2972.0,-876.0,23308.0,-367.0,2166.0,-331.0,238.0,1.0
-7780.0,-1240.0,13808.0,-696.0,-557.0,725.0,200.0,1.0
-8688.0,2248.0,8588.0,-1605.0,-2811.0,931.0,199.0,1.0
-1872.0,1724.0,14644.0,-2521.0,-2067.0,130.0,207.0,1.0
5660.0,-1112.0,6064.0,-1654.0,-2077.0,-193.0,205.0,1.0
10864.0,-2268.0,17188.0,-903.0,-885.0,-618.0,221.0,1.0
4264.0,-2388.0,25272.0,-49.0,525.0,-803.0,198.0,1.0
5528.0,-1092.0,22552.0,171.0,2412.0,-694.0,196.0,1.0
-7460.0,-1244.0,13172.0,-455.0,1559.0,-27.0,208.0,1.0
-15180.0,2808.0,7560.0,-1215.0,-2481.0,986.0,202.0,1.0
-10580.0,2720.0,9240.0,-2332.0,-2158.0,472.0,230.0,1.0
4648.0,-1056.0,8036.0,-2021.0,-1625.0,-81.0,202.0,1.0
1812.0,-1112.0,19452.0,-1249.0,-2180.0,-403.0,188.0,1.0
11312.0,-2316.0,16220.0,-380.0,-340.0,-751.0,206.0,1.0
3216.0,-1156.0,24660.0,229.0,1906.0,-743.0,202.0,1.0
1644.0,-2592.0,26248.0,-372.0,2284.0,-361.0,232.0,1.0
-15404.0,3020.0,7900.0,-741.0,-484.0,680.0,196.0,1.0
-11628.0,3344.0,9408.0,-1614.0,-2868.0,900.0,194.0,1.0
-2452.0,1804.0,13368.0,-2496.0,-2091.0,113.0,210.0,1.0
1176.0,-1116.0,18652.0,-1673.0,-2082.0,-199.0,202.0,1.0
10312.0,-2204.0,16784.0,-848.0,-716.0,-644.0,233.0,1.0
4240.0,-2268.0,25288.0,56.0,978.0,-754.0,212.0,1.0
