ax,ay,az,gx,gy,gz,temp,flame,label
3732,6248.0,-5588.0,-4261.0,-2210.0,507.0,141.0,1.0,0
244,7376.0,-4808.0,-3670.0,-1140.0,766.0,112.0,1.0,0
120,2188.0,-5800.0,-2157.0,429.0,554.0,128.0,1.0,0
2192,-2104.0,-9496.0,-1355.0,-496.0,986.0,72.0,1.0,0
3168,920.0,4936.0,-1398.0,-590.0,834.0,72.0,1.0,0
6936,-5876.0,-4496.0,-1372.0,213.0,834.0,107.0,1.0,0
1800,6424.0,-6460.0,-3153.0,-74.0,682.0,127.0,1.0,0
-8208,-6148.0,25596.0,-1825.0,-1793.0,-513.0,140.0,1.0,0
-7616,-6856.0,26156.0,-570.0,136.0,-1157.0,111.0,1.0,0
-9428,-272.0,18648.0,-966.0,-702.0,-1240.0,133.0,1.0,0
-4604,3328.0,11160.0,-2121.0,-1436.0,-983.0,98.0,1.0,0
-7640,4812.0,12440.0,-1774.0,-1563.0,-453.0,104.0,1.0,0
-3136,516.0,13368.0,-604.0,562.0,-546.0,142.0,1.0,0
9680,1520.0,30936.0,1841.0,3379.0,-302.0,128.0,1.0,0
8116,4636.0,22820.0,2241.0,4337.0,107.0,100.0,1.0,0
10064,488.0,31360.0,2303.0,4116.0,66.0,82.0,1.0,0
4720,4896.0,30732.0,1382.0,3460.0,272.0,153.0,1.0,0
8972,-1072.0,32644.0,1018.0,2382.0,69.0,112.0,1.0,0
7292,2868.0,31560.0,1123.0,2678.0,181.0,120.0,1.0,0
-7264,3928.0,32767.0,200.0,1084.0,135.0,112.0,1.0,0
96,5720.0,31752.0,-1156.0,-2315.0,119.0,100.0,1.0,0
-13576,-1648.0,25076.0,-1175.0,-4034.0,400.0,151.0,1.0,0
-4280,452.0,7624.0,-1620.0,-4906.0,77.0,165.0,1.0,0
-15120,372.0,30224.0,-1100.0,-4205.0,447.0,128.0,1.0,0
3644,3884.0,2692.0,-1001.0,-2926.0,883.0,114.0,1.0,0
5520,-1544.0,2744.0,-1188.0,-2345.0,974.0,96.0,1.0,0
-9048,-3112.0,13636.0,-1049.0,-3214.0,908.0,128.0,1.0,0
-7404,-168.0,12492.0,-999.0,-3760.0,855.0,96.0,1.0,0
-2892,1828.0,5956.0,-1529.0,-5104.0,233.0,154.0,1.0,0
-4840,1828.0,5956.0,-1529.0,-5104.0,233.0,76.0,1.0,0
-7120,-2920.0,11876.0,-1042.0,-2747.0,1090.0,128.0,1.0,0
-13420,-2524.0,24228.0,-1218.0,-4171.0,434.0,120.0,1.0,0
3936,4396.0,30952.0,-1371.0,-2497.0,122.0,130.0,1.0,0
