ax,ay,az,gx,gy,gz,temp,flame
-7852,-2264,18024,-273,1142,-1127,140,1
-10800,5676,13244,-633,-544,-17,174,1
9876,1556,28292,2448,4881,315,148,1
6552,3768,31852,2297,5142,730,135,1
8480,3120,30924,997,2886,410,148,1
-17232,4176,32767,-1140,-3127,-124,120,1
0,0,0,0,0,0,174,1
7752,-2184,-5668,-2598,873,662,92,1
-8524,-9172,20332,-1987,-1805,-704,105,1
-6992,-6344,17380,-1294,-1301,-935,134,1
-3076,1132,15020,600,1415,107,146,1
-6100,6452,31488,36,1039,269,145,1
-15512,-2012,29032,-606,-3858,367,128,1
4960,-844,-8260,-2804,277,507,87,1
-15120,-7204,11240,-3944,-3837,-196,122,1
-2980,3956,-5272,-3775,-3057,-359,100,1
-3624,8904,-5424,-4489,-2837,458,114,1
-9012,-3004,5316,-4821,-2722,232,72,1
-5884,3444,-1852,-3800,-3787,-465,128,1
-10004,-8952,18000,-1546,-1189,-911,143,1
-5884,-4232,18712,-238,1523,-1260,148,1
-7048,-5168,18228,-1085,-968,-987,122,1
-7644,368,17688,-1021,-364,-1094,142,1
0,0,0,0,0,0,96,1
10628,396,28200,2184,5094,632,147,1
-764,5732,29788,-133,606,254,141,1
-15352,-1840,27608,-1280,-3578,-15,142,1
-15396,-472,30908,-1245,-4904,-105,150,1
5284,-436,4136,-937,-952,877,100,1
-9228,-76,1588,-3966,-2099,528,90,1
-860,-8964,20012,-1135,-876,-883,134,1
-6668,-928,18136,-1740,-1605,-786,129,1
4132,5572,19156,491,1571,5,82,1
-11292,5640,32767,182,879,192,142,1
-15528,-1452,30240,-1175,-4954,-207,152,1
8696,-1764,-3360,-1375,197,755,128,1
-10788,-9284,20080,-3498,-3558,-588,157,1
692,-7084,19056,-327,1433,-1265,142,1
-9208,5028,11640,-1882,-1269,-651,104,1
-10244,5784,14048,176,1160,37,128,1
9604,-3944,29576,1974,4619,515,98,1
-13424,-4448,25400,-1089,-4301,-76,112,1
10380,-1672,-4256,-2815,139,637,117,1
-552,-8140,21104,-253,789,-1123,96,1
3544,5016,17672,232,1412,-19,124,1
-13724,-2120,25060,-1229,-3041,-79,149,1
